Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Agfa ePhoto 1280,,1024.0,640.0,,,,70.0,,4.0,,95.0,
Agfa ePhoto 1680,1998,,640.0,,38.0,114.0,50.0,,4.0,420.0,158.0,179.0
Agfa ePhoto CL18,2000,640.0,,,,45.0,,0.0,,0.0,0.0,179.0
Agfa ePhoto CL30,1999,1152.0,,,35.0,,0.0,0.0,4.0,,,269.0
Agfa ePhoto CL30 Clik!,1999,1152.0,640.0,,43.0,,50.0,0.0,40.0,300.0,128.0,
Agfa ePhoto CL45,2001,1600.0,640.0,1.0,51.0,,50.0,,8.0,270.0,,
Agfa ePhoto CL50,,1280.0,640.0,,,102.0,0.0,0.0,,0.0,,179.0
Canon PowerShot 350,1997,640.0,0.0,0.0,,,70.0,,,320.0,93.0,149.0
Canon PowerShot 600,1996,832.0,,,50.0,50.0,40.0,10.0,1.0,,160.0,
Canon PowerShot A10,2001,,,,,,,16.0,,375.0,,
Canon PowerShot A100,,,,1.0,39.0,39.0,20.0,5.0,,225.0,,
Canon PowerShot A20,,,1024.0,1.0,35.0,105.0,76.0,16.0,,,,139.0
Canon PowerShot A200,,1600.0,1024.0,,,,20.0,5.0,,225.0,,139.0
Canon PowerShot A30,2002,1280.0,1024.0,1.0,35.0,,76.0,16.0,,350.0,,139.0
Canon PowerShot A300,,,,3.0,,33.0,20.0,,32.0,,111.0,139.0
Canon PowerShot A310,2004,,1600.0,3.0,,,0.0,5.0,,,110.0,
Canon PowerShot A40,,,1024.0,1.0,,,,,8.0,,110.0,
Canon PowerShot A400,,2048.0,,3.0,45.0,100.0,,,16.0,255.0,107.0,
Canon PowerShot A410,,,1600.0,,,,,1.0,,,103.0,139.0
Canon PowerShot A420,2006,,,4.0,39.0,125.0,,1.0,,200.0,,139.0
Canon PowerShot A430,,,,4.0,,,,,16.0,210.0,,
Canon PowerShot A450,2007,,2048.0,,38.0,122.0,,1.0,16.0,215.0,,
Canon PowerShot A460,,,,5.0,38.0,152.0,47.0,,,,106.0,
Canon PowerShot A5,1998,1024.0,512.0,,35.0,,50.0,9.0,,,105.0,
Canon PowerShot A50,,,640.0,1.0,28.0,,50.0,17.0,8.0,,,149.0
Canon PowerShot A510,,,1600.0,,35.0,140.0,,5.0,,230.0,91.0,
Canon PowerShot A520,,2272.0,,3.0,35.0,,0.0,5.0,,,91.0,
Canon PowerShot A530,,2592.0,2048.0,,35.0,140.0,45.0,5.0,,220.0,,
Canon PowerShot A540,2006,,,6.0,35.0,140.0,45.0,,16.0,230.0,,
Canon PowerShot A550,2007,3072.0,2592.0,7.0,35.0,,45.0,,,210.0,,149.0
Canon PowerShot A560,,3072.0,,,35.0,140.0,,,16.0,205.0,91.0,149.0
Canon PowerShot A570 IS,,3072.0,2592.0,,35.0,140.0,45.0,,,,,149.0
Canon PowerShot A5 Zoom,1999,1024.0,,0.0,,,,17.0,,,103.0,
